Features,Labels,Encoded Labels
 warehouse sync,0.0-1.0,Task1
weekly developer meeting nd september   comparing source safe,7.0-10.0,Task6
weekly developer meeting nd september   comparing source safe,7.0-10.0,Task6
weekly developer meeting nd september   comparing source safe,7.0-10.0,Task6
weekly developer meeting nd september   comparing source safe,7.0-10.0,Task6
weekly developer meeting nd september   comparing source safe,7.0-10.0,Task6
weekly developer meeting nd september   comparing source safe,7.0-10.0,Task6
weekly developer meeting xxx month year  topic,10.0-23.0,Task7
weekly developer meeting xxx month year  topic,10.0-23.0,Task7
weekly developer meeting xxx month year  topic,10.0-23.0,Task7
weekly developer meeting xxx month year  topic,10.0-23.0,Task7
weekly developer meeting xxx month year  topic,10.0-23.0,Task7
weekly developer meeting xxx month year  topic,10.0-23.0,Task7
weekly developer meeting xxx month year  topic,10.0-23.0,Task7
test block tasks are behaving,0.0-1.0,Task1
add block task for weekly developer meetings,0.0-1.0,Task1
release daily effort recored report,0.0-1.0,Task1
check  s maxtor drive  possible faulty drive,0.0-1.0,Task1
bug with the task autoscheduer inserting the wrong dates ,0.0-1.0,Task1
add route to new server for norwich union network connection,0.0-1.0,Task1
research network scanning tools,4.0-7.0,Task5
try and recover data from  s maxtor,3.0-4.0,Task4
add exchange rate history to reference data,1.0-2.0,Task2
organise hardware maintenance for firewall,0.0-1.0,Task1
daily server checks  week ,2.0-3.0,Task3
block scheduler having errors,0.0-1.0,Task1
create a new super search for the task system,10.0-23.0,Task7
create a new super search for the task system,10.0-23.0,Task7
remove  s accounts etc,0.0-1.0,Task1
weekly progress report should allow start  end range for monthly reporting,0.0-1.0,Task1
xlsior proportional outstanding  export update for  live,0.0-1.0,Task1
net splits to zero when paids and or outstandings are zero,10.0-23.0,Task7
sync all developments back to one developer dev database ,23.0-100.0,Task8
rates of exchange issue  rates used not taken from  issued list but from scm msg,4.0-7.0,Task5
aid  scm split enhancements,0.0-1.0,Task1
fix acpi bugs on laptop,4.0-7.0,Task5
upload  s licence key to server,0.0-1.0,Task1
upload  s licence key to server,0.0-1.0,Task1
diary event  multirecipients  marking as complete,1.0-2.0,Task2
type x reference diary events ,1.0-2.0,Task2
user support   xlsior extract,0.0-1.0,Task1
updating scms v stored procedures,10.0-23.0,Task7
updating scms v stored procedures,10.0-23.0,Task7
install task system on  s home machine,4.0-7.0,Task5
description field required for lcnlicence and lcnlicenceserverclients,0.0-1.0,Task1
non developers must allow tasks to be assigned to them,0.0-1.0,Task1
create automated yearly holiday cards for sip staff,7.0-10.0,Task6
extract timesheet absence data for task system,0.0-1.0,Task1
adding node search to knowledge base,10.0-23.0,Task7
adding node search to knowledge base,10.0-23.0,Task7
update roe table from exchange web site for both  dev and live,1.0-2.0,Task2
creating a validation object for the task system,23.0-100.0,Task8
creating a validation object for the task system,23.0-100.0,Task8
creating a validation object for the task system,23.0-100.0,Task8
sql server back end access monitoring,3.0-4.0,Task4
sip management meeting,3.0-4.0,Task4
risk renewal fails ,10.0-23.0,Task7
risk renewal fails ,10.0-23.0,Task7
set coverage and section type id to mandatory in manual risk entry,0.0-1.0,Task1
deleting unlinked task documents and test documents,1.0-2.0,Task2
ugd  backup internet connection research,1.0-2.0,Task2
upgrade asset database to show upcoming licence renewals,10.0-23.0,Task7
catch all tasks,0.0-1.0,Task1
task supersearch to include security so users can only query projects they are allowed to see,0.0-1.0,Task1
daily task report previous days parameters failing to produce correct report,0.0-1.0,Task1
creating tsql script to auto create splits with all events netted to zero ,10.0-23.0,Task7
organise references for microsoft partner program membership,4.0-7.0,Task5
organise references for microsoft partner program membership,4.0-7.0,Task5
hourglass cursor in report form when user clicks a new report,0.0-1.0,Task1
create a monthly staff performance report,4.0-7.0,Task5
fix the weekly performance report,2.0-3.0,Task3
usm manual entry needs to work with new sip loader database structure,23.0-100.0,Task8
reports need to work with new sip loader structure,10.0-23.0,Task7
scmusm validation need to work with new sip loader database ,10.0-23.0,Task7
scmusm validation need to work with new sip loader database ,10.0-23.0,Task7
scmusm validation need to work with new sip loader database ,10.0-23.0,Task7
warehouse needs to build with new sip loader database structure,10.0-23.0,Task7
extract  time from task system,0.0-1.0,Task1
loader to check for user during load,1.0-2.0,Task2
minor admin  management tasks  october,10.0-23.0,Task7
daily server checks  week ,2.0-3.0,Task3
loader to save feedback to database for later display,2.0-3.0,Task3
restore integrity checking as postprocessing sql,3.0-4.0,Task4
investifgate if narrative decoding should user ca category instead of business category,0.0-1.0,Task1
opening ri linked usm causes statistical cache error,2.0-3.0,Task3
task super search breaks when  values are entered,0.0-1.0,Task1
user support   save search query fails on statisitcal code parameter,0.0-1.0,Task1
user support    needs scm events opened for month end  one off,0.0-1.0,Task1
lloyds month end message error on all live databases  investigate and fix,10.0-23.0,Task7
lloyds month end message error on all live databases  investigate and fix,10.0-23.0,Task7
miscellaneous tasks for october,7.0-10.0,Task6
write a holiday card report and integrate into front end meta data,3.0-4.0,Task4
investigate vss sql login errors on sipsql,7.0-10.0,Task6
review latest version of usm spec,2.0-3.0,Task3
general october management tasks,10.0-23.0,Task7
release task system v ,2.0-3.0,Task3
release technical core ,3.0-4.0,Task4
sync all test database to live run messages and validation,0.0-1.0,Task1
updating scms usm validation,1.0-2.0,Task2
change lpsoversion to char with leading zero,0.0-1.0,Task1
scm validation rerun  live,0.0-1.0,Task1
sip comparator update  add new refmeta tables to comparator,3.0-4.0,Task4
allow task system users to run validation checks,0.0-1.0,Task1
checking in changes to the task system and releasing task system,10.0-23.0,Task7
checking in changes to the task system and releasing task system,10.0-23.0,Task7
add reporting meta tables to the comparator,0.0-1.0,Task1
run loader test and debug,4.0-7.0,Task5
testing the holiday card report and auto running,2.0-3.0,Task3
performance report needs  parameter page,0.0-1.0,Task1
task performance report  ctp figures incorrect,0.0-1.0,Task1
processing month should be set to last day not first,2.0-3.0,Task3
check procedure spscmrefgetusm,0.0-1.0,Task1
scms sip loader database progress update for  ,0.0-1.0,Task1
ugd  network changes implementation,23.0-100.0,Task8
purchase and install veritas backupexec on the live servers,7.0-10.0,Task6
sept close    split event problem,0.0-1.0,Task1
fix  super search grouping,4.0-7.0,Task5
fix  super search grouping,4.0-7.0,Task5
usm uwref correction table needs to distinguish between inward and outward,1.0-2.0,Task2
usm reconciliation window does not work properly ,0.0-1.0,Task1
check and debug usm validation,4.0-7.0,Task5
release mechanism documentation meeting,1.0-2.0,Task2
weekly developer meeting th october   risk entry,10.0-23.0,Task7
weekly developer meeting th october   risk entry,10.0-23.0,Task7
weekly developer meeting th october   risk entry,10.0-23.0,Task7
weekly developer meeting th october   risk entry,10.0-23.0,Task7
weekly developer meeting th october   risk entry,10.0-23.0,Task7
weekly developer meeting th october   risk entry,10.0-23.0,Task7
weekly developer meeting th october   risk entry,10.0-23.0,Task7
install new dell laptop,4.0-7.0,Task5
allowing dragging and dropping of knowledge base nodes,10.0-23.0,Task7
create user review report,1.0-2.0,Task2
catchup meeting with  ,0.0-1.0,Task1
update asset register,3.0-4.0,Task4
 format triangles  deploy  on live,1.0-2.0,Task2
add longer timeouts to sqlcomparator in case nerwork is busy,0.0-1.0,Task1
daily server checks  week ,2.0-3.0,Task3
currency totals in scm search form,0.0-1.0,Task1
catch all tasks,0.0-1.0,Task1
updating scms warehouse stored procedures,10.0-23.0,Task7
usm split lookups not working on risk code and broker code,1.0-2.0,Task2
usm split not saving multiple splits,2.0-3.0,Task3
demo the new diary event functionality  reports to  ,0.0-1.0,Task1
cannot find cachestatistics when usm category is  and above,1.0-2.0,Task2
usm category returning back to  whenever its gets saved to a different one,1.0-2.0,Task2
usm validation errors navigation not working,10.0-23.0,Task7
usm validation errors navigation not working,10.0-23.0,Task7
catch all tasks,0.0-1.0,Task1
document usm column changes and put in knowledge base,1.0-2.0,Task2
reinstall laptop,10.0-23.0,Task7
cannot save mulitple usm manual entrys on same lpso date,4.0-7.0,Task5
user licence  new licence required for  user due to machine change,0.0-1.0,Task1
scms tasks update,0.0-1.0,Task1
figures in the event search window are wrong,3.0-4.0,Task4
testing  checking getsave procedures holding up on riskriscmusm,3.0-4.0,Task4
investigate and fix figures difference between  dev and live warehouses,7.0-10.0,Task6
develop options for loader interface,1.0-2.0,Task2
review progress on loader and work out what is still to be done,0.0-1.0,Task1
assist   in updating scm event search,0.0-1.0,Task1
ri statisitics comsummary in usm not binding data,10.0-23.0,Task7
scms user file structure checkupdates to allow autorelease to hold,1.0-2.0,Task2
reinstall evesham laptop,7.0-10.0,Task6
reinstall cube pc,4.0-7.0,Task5
employ business rule for usm business category and usm category,23.0-100.0,Task8
employ business rule for usm business category and usm category,23.0-100.0,Task8
updating scms risk validation procedures,7.0-10.0,Task6
navigation of knowledge search nodes hangs,10.0-23.0,Task7
release scms application to live   synd,10.0-23.0,Task7
release scms warehouse to live   synd,4.0-7.0,Task5
produce adhoc report in overriders,1.0-2.0,Task2
develop data business object and form classes for ldex message summary,23.0-100.0,Task8
develop data business object and form classes for ldex message summary,23.0-100.0,Task8
develop data business object and form classes for ldex message summary,23.0-100.0,Task8
 new data cut restorerun conversion scripts,2.0-3.0,Task3
delete unwanted knowledge base nodes,0.0-1.0,Task1
 format figures books sometimes not showing gbpeur figures,0.0-1.0,Task1
overrider report  version ,0.0-1.0,Task1
collect networking kit from bromleybybow,0.0-1.0,Task1
update security on knowledge base for sip board members,0.0-1.0,Task1
test and distribute wingrep  and licence key,0.0-1.0,Task1
catch all tasks,0.0-1.0,Task1
preparation for task system demo,1.0-2.0,Task2
manually frig a claim on ,0.0-1.0,Task1
user support   scm manual movementfeedback support,0.0-1.0,Task1
sort out msdn and technet deliveries,0.0-1.0,Task1
daily server checks  week ,2.0-3.0,Task3
migrate  s data onto new laptop,1.0-2.0,Task2
install backupexec on testlab,23.0-100.0,Task8
renew backup mx record service,0.0-1.0,Task1
installed windows updates  mulitple reboots,0.0-1.0,Task1
data warehouse  table reindexing,0.0-1.0,Task1
sql server logging  log files,1.0-2.0,Task2
explain ri discrepancy on claim ,0.0-1.0,Task1
time in leiu,0.0-1.0,Task1
backup release prepost versions to disk  setup task for template,0.0-1.0,Task1
investigate riskri linking on all syndicates and produce reports,3.0-4.0,Task4
changeover of machinessetting up new machine,0.0-1.0,Task1
splitter bar in the report suite window not corking correctly,0.0-1.0,Task1
editing the task validation object,4.0-7.0,Task5
editing the task validation object,4.0-7.0,Task5
task  status investigation for  v tasks,0.0-1.0,Task1
management meeting discussing risk entry changes,1.0-2.0,Task2
provide estimate of effort required on new risk changes,1.0-2.0,Task2
investigate difference between triangle and figures book for sept,1.0-2.0,Task2
 format figures book misordering some rows,1.0-2.0,Task2
report on invalidly linked ri,4.0-7.0,Task5
saving draging and droping of knowledge nodes to database,4.0-7.0,Task5
saving draging and droping of knowledge nodes to database,4.0-7.0,Task5
period close need to work with new sip loader database,4.0-7.0,Task5
scms tasks update,0.0-1.0,Task1
documents  checking out  viewing  losing changes,0.0-1.0,Task1
 mfr report  check data,1.0-2.0,Task2
sip management meeting,1.0-2.0,Task2
task system demo,2.0-3.0,Task3
fix period close for usm  no suspense items exist reconciliation report reviewed and last message recieved,1.0-2.0,Task2
 format triangles not available for september,0.0-1.0,Task1
make the uwr correction search hold up,0.0-1.0,Task1
add risk code ii group and ii type to reference data,0.0-1.0,Task1
making the uwr correction save work  editing form to reflect new table structure,4.0-7.0,Task5
making the uwr correction save work  editing form to reflect new table structure,4.0-7.0,Task5
allow movement of kb nodes within same parent,4.0-7.0,Task5
security required for movement of nodes,3.0-4.0,Task4
morning message load validation recovery,0.0-1.0,Task1
update knowledge base with usm changes,1.0-2.0,Task2
time in lieu  dentist,1.0-2.0,Task2
analyse problem with email reports on hq,0.0-1.0,Task1
check  s laptop and investigate odd emails issue,3.0-4.0,Task4
release technical core v ,0.0-1.0,Task1
usm treaty balance grid needs data,0.0-1.0,Task1
search facility on reference data,10.0-23.0,Task7
amend remaining references to rilinkedinwardspolicy,0.0-1.0,Task1
management meeting,0.0-1.0,Task1
problem with template list not refreshing in kb,4.0-7.0,Task5
set appropriate limits on groupby for various fields,3.0-4.0,Task4
investigate and fix differences between june and september triangles ,2.0-3.0,Task3
create oasis accrual triangles for ,2.0-3.0,Task3
loader to save patches to database in usable form,10.0-23.0,Task7
make triangles printable,10.0-23.0,Task7
triangles past months should be fixed,23.0-100.0,Task8
 meeting to discuss risk entry,1.0-2.0,Task2
skipsearch on saved query reports no longer seem to be working,0.0-1.0,Task1
hide away non risk functionality within scms via system options,4.0-7.0,Task5
record syndicate statistics per syndicate at risksectionline level,23.0-100.0,Task8
add new risk type per sectionline level,23.0-100.0,Task8
provide multiple risk status paths,4.0-7.0,Task5
record multiple risk business types,10.0-23.0,Task7
field access per status  business type  syndicate,10.0-23.0,Task7
risk only period close,1.0-2.0,Task2
risk searching to include declarations,0.0-1.0,Task1
risk security  syndicate visibility controlled by client  user level,4.0-7.0,Task5
risk security  syndicate visibility controlled by client  user level,4.0-7.0,Task5
ri missing stats when opened from usm line,1.0-2.0,Task2
sending out script of database changes to ,0.0-1.0,Task1
daily server checks  week ,1.0-2.0,Task2
 live validation errors,23.0-100.0,Task8
modification of remaining kb stored procedures,4.0-7.0,Task5
task project export failing,1.0-2.0,Task2
entering cover entry tasks ready for monitoring,1.0-2.0,Task2
get usm contra to work with new loader,10.0-23.0,Task7
release technical core ,3.0-4.0,Task4
release technical core ,3.0-4.0,Task4
validation errors of maximum size exceeded need removing automatically,0.0-1.0,Task1
autosize grid columns needs improving,0.0-1.0,Task1
release scms application to live   synd,7.0-10.0,Task6
release scms warehouse to live   synd,4.0-7.0,Task5
backup release prepost versions to disk    synd,0.0-1.0,Task1
search function not accessable to knowledge base,0.0-1.0,Task1
discussions regarding investors in people,1.0-2.0,Task2
overview of datagrid enhancement requirements,0.0-1.0,Task1
overview of datagrid enhancement requirements,0.0-1.0,Task1
building base binder management system environment,0.0-1.0,Task1
new drag and drop functionality for data grid,23.0-100.0,Task8
  says that there are some speak to it validation errors to clear,0.0-1.0,Task1
exception opening claim ,1.0-2.0,Task2
summarise reasons why  have not signed off,0.0-1.0,Task1
sort repsmeta out on  live now  has gone live  test,4.0-7.0,Task5
scm message overdue  diary event messages ,0.0-1.0,Task1
document installation and use of backupexec,10.0-23.0,Task7
get spusmcontraundo to work with new usm structure,4.0-7.0,Task5
comsummary not loading data on posted usms,1.0-2.0,Task2
 database maintenance plan setup,0.0-1.0,Task1
updating trustfund codes and fil naic codes  data,4.0-7.0,Task5
archive and transfer server backups to laptop,2.0-3.0,Task3
ltdhq performance problems,2.0-3.0,Task3
getting and restoring  databases,3.0-4.0,Task4
weekly developer meeting th october   binder management review,10.0-23.0,Task7
weekly developer meeting th october   binder management review,10.0-23.0,Task7
weekly developer meeting th october   binder management review,10.0-23.0,Task7
weekly developer meeting th october   binder management review,10.0-23.0,Task7
weekly developer meeting th october   binder management review,10.0-23.0,Task7
weekly developer meeting th october   binder management review,10.0-23.0,Task7
weekly developer meeting th october   binder management review,10.0-23.0,Task7
contact ibm and have laptop service tag reset,2.0-3.0,Task3
reinstall  s old laptop,7.0-10.0,Task6
looking at the  conversion,10.0-23.0,Task7
add new fields to usm screen filmarketcode and filcode,2.0-3.0,Task3
 binder management meeting with  ,1.0-2.0,Task2
sip management meeting,4.0-7.0,Task5
divide loader into projects so that it will be available as an exe or a dll,3.0-4.0,Task4
release technical core ,1.0-2.0,Task2
release technical core ,1.0-2.0,Task2
release task system,10.0-23.0,Task7
release task system,10.0-23.0,Task7
sorting out  s licensing problem and sip licencer,1.0-2.0,Task2
sorting out  s licensing problem and sip licencer,1.0-2.0,Task2
add tooltip to contra indicator and display description in field,2.0-3.0,Task3
loader check for ldex user not working,0.0-1.0,Task1
fix usm messagesummary stored proc to work with new usm,2.0-3.0,Task3
draw up planproposals for scm,7.0-10.0,Task6
more speak to it scm validation errors,0.0-1.0,Task1
look into problem for    turned out to be user error,0.0-1.0,Task1
daily server checks  week ,2.0-3.0,Task3
changes to loader to enable services to scms,23.0-100.0,Task8
missing data in usmline table causes errors,7.0-10.0,Task6
if no table selected on reference data screen  on closing form error raised,0.0-1.0,Task1
event dol to be added scm event grid,2.0-3.0,Task3
hourglass when click on new reports treeview node,0.0-1.0,Task1
create a task system key for   for home use,0.0-1.0,Task1
speed up usm supersearch by using risklineid and layerid from usmline,1.0-2.0,Task2
setting up conversion databases locally,0.0-1.0,Task1
testing task system database changes and resolving bugs,4.0-7.0,Task5
restore eurobase  usm datadevconv db setup,0.0-1.0,Task1
updating event codes for users of  with latest events ,23.0-100.0,Task8
scmusm validation not working,7.0-10.0,Task6
general management tasks,23.0-100.0,Task8
risk save is taking too long,1.0-2.0,Task2
claim save  problem changing an event linked to scm line,3.0-4.0,Task4
claim save  problem changing an event linked to scm line,3.0-4.0,Task4
opening events from history doesnt populate fields,2.0-3.0,Task3
 period close save errors,4.0-7.0,Task5
 period close save errors,4.0-7.0,Task5
demo the accouts import loader to   ,2.0-3.0,Task3
going through and running  risk conversion functions,7.0-10.0,Task6
compare  eurobase transaction raw data with  dev,23.0-100.0,Task8
compare  eurobase transaction raw data with  dev,23.0-100.0,Task8
compare  eurobase transaction raw data with  dev,23.0-100.0,Task8
users not able to delete certain event splits dummy events version ,10.0-23.0,Task7
users not able to delete certain event splits dummy events version ,10.0-23.0,Task7
discussion of some usmrisk updates,1.0-2.0,Task2
catch all tasks,0.0-1.0,Task1
add task system entry for  ,0.0-1.0,Task1
minor admin  management tasks  november,23.0-100.0,Task8
risk history screen broken,1.0-2.0,Task2
filter groups are not saving correctly in search control object,1.0-2.0,Task2
open uwrcorrection from menu cause error  missing column,1.0-2.0,Task2
search on usm validations not working,1.0-2.0,Task2
 scm dummy split delete not workingremoving dummy split data,1.0-2.0,Task2
fil code field access needs setting depending on lpso category,4.0-7.0,Task5
synd  user saved query check,0.0-1.0,Task1
learning about the  risk schema,2.0-3.0,Task3
 scm euro converted claims not tying back investigation,1.0-2.0,Task2
risk failing to filter risk code,1.0-2.0,Task2
performance testing updates,4.0-7.0,Task5
migrate files and settings to new laptop,4.0-7.0,Task5
statistical grid refreshing improved to update as line changes,0.0-1.0,Task1
looking through scmusmriref conversion scripts,7.0-10.0,Task6
looking into sql server torn page error,0.0-1.0,Task1
 testing and bug fixing,10.0-23.0,Task7
user support  correct folder structure for auto update,0.0-1.0,Task1
reinstall tchibo laptop,1.0-2.0,Task2
daily server checks  week ,3.0-4.0,Task4
investigate and fix  s laptop,10.0-23.0,Task7
investigate and fix  s laptop,10.0-23.0,Task7
 audit  scms details ,2.0-3.0,Task3
user support   period close aid   with split complete check,0.0-1.0,Task1
create script to populate usmtransaction table,23.0-100.0,Task8
create script to populate usmtransaction table,23.0-100.0,Task8
create script to populate usmtransaction table,23.0-100.0,Task8
scms tasks review,0.0-1.0,Task1
 daily movement report email to be sent to   ,1.0-2.0,Task2
risks not opening in scms  dev,4.0-7.0,Task5
eurobase usm data master backup,0.0-1.0,Task1
bring scm loader into service,23.0-100.0,Task8
change schedule of  usm rec report to run on st of month,0.0-1.0,Task1
release scms application to live   synd,4.0-7.0,Task5
release scms warehouse to live   synd,4.0-7.0,Task5
backup release prepost versions to disk   synd,0.0-1.0,Task1
getting set up with  database old technical core and old scms,1.0-2.0,Task2
adding events to an scm on  takes too long,10.0-23.0,Task7
adding events to an scm on  takes too long,10.0-23.0,Task7
adding events to an scm on  takes too long,10.0-23.0,Task7
research updating of columns in scm claimtransactionline,10.0-23.0,Task7
saving failing on cascading child keys,1.0-2.0,Task2
duplicate controls on searching on risk screen,0.0-1.0,Task1
lookup grid combo box not displaying properly,2.0-3.0,Task3
investigate security auditing options for exchange server,2.0-3.0,Task3
sip uw correction form no longer appearing when correcting uw ref,0.0-1.0,Task1
testing scms v ,10.0-23.0,Task7
synd  user saved query check,1.0-2.0,Task2
make xlsior proportional extracts work for synds    ,10.0-23.0,Task7
documentation for xxx for  binder management proposal,3.0-4.0,Task4
investigate spam emails in smtp logs,1.0-2.0,Task2
release technical core ,2.0-3.0,Task3
release technical core ,2.0-3.0,Task3
create licence for  ,0.0-1.0,Task1
sip knowledge base  release management documentation,1.0-2.0,Task2
release scms application to live   synd,1.0-2.0,Task2
sip management meeting,3.0-4.0,Task4
create licence for  ,0.0-1.0,Task1
existing database to sip loader database conv scripts  ,10.0-23.0,Task7
get task system licence working on my laptop,0.0-1.0,Task1
 live refaudit clean up,0.0-1.0,Task1
creating scripts to populate the usmline treatystatement and  split tables,23.0-100.0,Task8
investigate linking of  fac generally,2.0-3.0,Task3
ugd   consultancy,4.0-7.0,Task5
daily server checks  week ,2.0-3.0,Task3
claim save  problem changing an event linked to scm line,0.0-1.0,Task1
 audit  more scms information required,1.0-2.0,Task2
release task system for   at home,4.0-7.0,Task5
debug and fine tune qsxl linking for xlsior proportional export,4.0-7.0,Task5
signed line  in usm and scm search results grid should be dp rather than ,1.0-2.0,Task2
signed line  in usm and scm search results grid should be dp rather than ,1.0-2.0,Task2
new scm movement report,10.0-23.0,Task7
new usm report for ,7.0-10.0,Task6
validatesplit slows down saving claims,4.0-7.0,Task5
multiple events attached to an scm are deleted when a duplicate is added,10.0-23.0,Task7
multiple events attached to an scm are deleted when a duplicate is added,10.0-23.0,Task7
set up a pc to test visual studio  and sql server ,4.0-7.0,Task5
   autoreleaseupgrader,0.0-1.0,Task1
duplicate code messages not being removed properly,23.0-100.0,Task8
statistical data move to live system ,2.0-3.0,Task3
statistical data move to live system ,2.0-3.0,Task3
aid developer tasks,2.0-3.0,Task3
sort out microsoft partner program for ,7.0-10.0,Task6
update frmsipautocorrection to work with new usm structure,10.0-23.0,Task7
disable usm splitting for treaty transactions,0.0-1.0,Task1
purchase and configure wireless data card,0.0-1.0,Task1
update xlsior proportional export for v,3.0-4.0,Task4
investigate interaction between treaty statements and usm splits,1.0-2.0,Task2
 user meeting and outcome dicussion,1.0-2.0,Task2
 user meeting and outcome dicussion,1.0-2.0,Task2
cannot add relation messages keep appearing in scms v,1.0-2.0,Task2
risks with multiple sections not saving in scms v,10.0-23.0,Task7
 user support  converted ccy type scm issue,0.0-1.0,Task1
 usm tty transaction  line nett amount    update,0.0-1.0,Task1
newly linked qs figures look wrong on the scm ,3.0-4.0,Task4
sql comparator not working properly,1.0-2.0,Task2
sql comparator not working properly,1.0-2.0,Task2
reviewed progress on binder management to date,2.0-3.0,Task3
reviewed progress on binder management to date,2.0-3.0,Task3
check fac linking and report ,2.0-3.0,Task3
when status bar says fetching the pointer should change to hourglass,2.0-3.0,Task3
when status bar says fetching the pointer should change to hourglass,2.0-3.0,Task3
event search form  linked scm grid,4.0-7.0,Task5
catch all tasks,0.0-1.0,Task1
post task system release issues,0.0-1.0,Task1
usm search on business category not working in scms ,2.0-3.0,Task3
testing porting technical core and scms to net ,7.0-10.0,Task6
create script to populate usmmessagedetail table,7.0-10.0,Task6
run comparatorscms over converted  dbarchive off scripts once sync,10.0-23.0,Task7
daily server checks  week ,2.0-3.0,Task3
autocorrection box to appear and work with scm line,2.0-3.0,Task3
reports still loading from internet explorers cache,0.0-1.0,Task1
adding new event on scm with no events points to total instead of new event,7.0-10.0,Task6
sql  research,23.0-100.0,Task8
troubleshooting live server machine,3.0-4.0,Task4
troubleshooting live server machine,3.0-4.0,Task4
miscellaneous tasks for november,1.0-2.0,Task2
testing latest bug fixes with latest code,0.0-1.0,Task1
reinstalling sql server  on demo laptop,0.0-1.0,Task1
task reports timing out with an exception,3.0-4.0,Task4
setup scms on  s machine  s temp replacement,0.0-1.0,Task1
fixing problem with lack of space preventing queries,0.0-1.0,Task1
add lossdatefrom to view in scm split table,0.0-1.0,Task1
 correcting data not represented properly brought over from old reflection system,23.0-100.0,Task8
 correcting data not represented properly brought over from old reflection system,23.0-100.0,Task8
trubleshooting  desktop pcs ,0.0-1.0,Task1
build  live warehousesetup daily warehouse build job,7.0-10.0,Task6
backuptest  live for demo,3.0-4.0,Task4
error message appearing on opening certain usms,1.0-2.0,Task2
reference data ref uw corrections not working,0.0-1.0,Task1
aiding   matching eurobase with scms risk column links queries,0.0-1.0,Task1
 risk code figures book totals wrong  investigatefix,1.0-2.0,Task2
 presentation,4.0-7.0,Task5
problem with adding node in knowledge base,0.0-1.0,Task1
investigate why data in temp usmtransaction does not match raw data,2.0-3.0,Task3
reloading usm after entering superuser brings up exception also deleting dairyevent,4.0-7.0,Task5
 live machine setup for   to aid users queriesupdates during parallel run,0.0-1.0,Task1
new siplicencechecker dll test and checkin,0.0-1.0,Task1
addlinecalculation cannot find relation  messages keep appearing in scms,4.0-7.0,Task5
update   warehouse with recent changes,2.0-3.0,Task3
sql error during xlsior export,0.0-1.0,Task1
usm save  spusmsavetreatysection not working,4.0-7.0,Task5
 scm validation failing to remove duplicate line,4.0-7.0,Task5
 scm validation failing to remove duplicate line,4.0-7.0,Task5
new live machine setup and configuration,2.0-3.0,Task3
reinstallation of sql server and service pack,0.0-1.0,Task1
make data in test usm table unique,10.0-23.0,Task7
user support    issue with line event update,0.0-1.0,Task1
 demo,1.0-2.0,Task2
sip board meeting,2.0-3.0,Task3
usm search fields are repeated line statistics,2.0-3.0,Task3
risk supersearch throws an exception,0.0-1.0,Task1
when entering a new usm make treaty tab visible for lpso cat ,3.0-4.0,Task4
exception during risk supersearch,1.0-2.0,Task2
move uwrcorrection field access out of refmetafieldaccess,1.0-2.0,Task2
getting to grips with net datagridview control,10.0-23.0,Task7
test new  warehouse test db with recent changes ,0.0-1.0,Task1
debug  test warehouse,4.0-7.0,Task5
daily server checks  week ,2.0-3.0,Task3
prepare for installation of next batch of security updates on live servers,4.0-7.0,Task5
match ri data,3.0-4.0,Task4
risk grid paint failing on risk row deleted,3.0-4.0,Task4
when switching between search and event tabs grid becomes locked,1.0-2.0,Task2
exception thrown when trying to contra a contrad usm,0.0-1.0,Task1
populate riskrisk,7.0-10.0,Task6
searching a usm on statisitcal code fails,0.0-1.0,Task1
organise and standardise sip documentation,4.0-7.0,Task5
user support    found scms which should have ri linked,10.0-23.0,Task7
user support    found scms which should have ri linked,10.0-23.0,Task7
diary events needs raised date column,7.0-10.0,Task6
fixing column name problems,0.0-1.0,Task1
check database security on sip website,2.0-3.0,Task3
ri os synd ri ptd synd incorrectly shown on event linked scm figures,1.0-2.0,Task2
ri os synd ri ptd synd incorrectly shown on event linked scm figures,1.0-2.0,Task2
checkfix  figures book,0.0-1.0,Task1
reference data screen not clearing tables when switching between tables,2.0-3.0,Task3
remove scms test cases will be replaced with unit tests,4.0-7.0,Task5
put dividers and order search fields,2.0-3.0,Task3
setup scms demo version on  s machine so he could prepare for demos,0.0-1.0,Task1
catch all tasks,0.0-1.0,Task1
populate risksection,10.0-23.0,Task7
scms binder management demo for ,2.0-3.0,Task3
general net v conversion work,23.0-100.0,Task8
scms binder management discussions with   and jacque,1.0-2.0,Task2
reviewing queries from    claims department,2.0-3.0,Task3
 sip message load from dev server,10.0-23.0,Task7
 sip message load from dev server,10.0-23.0,Task7
populate risksectiondeclaration,10.0-23.0,Task7
creating manual claim to handle an scm with two settlement currencies in backend,0.0-1.0,Task1
fighting with visual studio with assembly manifest error and releasing core,4.0-7.0,Task5
getting licence checker to work with scms in net,1.0-2.0,Task2
 message loadvalidationwarehouse,0.0-1.0,Task1
scms cover entry demo to  ,2.0-3.0,Task3
 warehouse too big with accrual tables,4.0-7.0,Task5
add   and   to website staff section,1.0-2.0,Task2
change client logo,0.0-1.0,Task1
change  logo on all scms reports,4.0-7.0,Task5
miscellaneous tasks for december,2.0-3.0,Task3
adding events to scms with multiple lines brings up  validation errors,10.0-23.0,Task7
new  logo  release on scms,2.0-3.0,Task3
 usm sip message load validation run  compare figures,10.0-23.0,Task7
resolving scms issues in net,1.0-2.0,Task2
user support   want to add scm events direct into textbox,0.0-1.0,Task1
